name,item_number,release_date_japan,package_size_mm,built_up_size_mm,pieces_single,pieces_box,total_pieces,target_age,difficulty_level,link_rakuten
キャラナノ リラックマ,CN_23,2020-04-01,105×140×70,52×77×40,270,NA,270,12,2,https://item.rakuten.co.jp/diablock/4972825216873/
キャラナノ エヴァンゲリオン 2号機,CN_22,2020-04-01,105×140×70,70×108×48,300,NA,300,12,3,https://item.rakuten.co.jp/diablock/4972825216866/
ナノブロック®専用接着剤　使い切りミニタイプ　2本入り,NB_044,2020-01-25,70×180×15,NA,NA,NA,NA,12,NA,https://item.rakuten.co.jp/diablock/4972825214558/
鯉のぼり,NBH_209,2020-01-23,140×140×45,80×140×40,390,NA,390,12,3,NA
雛人形,NBH_208,2020-01-23,140×140×45,80×65×80,440,NA,440,12,2,NA
ミニナノ　名探偵コナン,NBMC_03,2020-01-18,105×180×13,36×38×28,80,6,480,12,NA,https://item.rakuten.co.jp/diablock/4972825216460/
ノイシュバンシュタイン城,NBH_198,2020-01-18,140×140×45,80×92×80,500,NA,500,12,3,https://item.rakuten.co.jp/diablock/4972825216415/
姫路城,NBH_197,2020-01-18,140×140×45,80×92×80,490,NA,490,12,3,https://item.rakuten.co.jp/diablock/4972825216422/
キャラナノ 赤井 秀一,CN_20,2020-01-18,105×140×70,56×85×75,240,NA,240,12,2,https://item.rakuten.co.jp/diablock/4972825216521/
キャラナノ 江戸川 コナン,CN_19,2020-01-18,105×140×70,56×63×56,240,NA,240,12,3,https://item.rakuten.co.jp/diablock/4972825216514/
ミニナノ　ウルトラマン,NBMC_05,2020-01-01,105×180×13,28×50×24,77,6,462,12,NA,https://item.rakuten.co.jp/diablock/4972825216842/
ミニナノ サンリオキャラクターズ,NBMC_04,2020-01-01,105×180×13,36×38×12,70,6,420,12,NA,https://item.rakuten.co.jp/diablock/4972825216507/
ミニナノ　エヴァンゲリオン,NBMC_02,2020-01-01,105×180×13,36×45×28,79,6,474,12,NA,https://item.rakuten.co.jp/diablock/4972825216446/
ロリポップキャンディ,NBC_306,2020-01-01,105×180×13,32×62×12,150,NA,150,12,1,https://item.rakuten.co.jp/diablock/4972825216408/
フライドポテト,NBC_305,2020-01-01,105×180×13,37×61×20,120,NA,120,12,2,https://item.rakuten.co.jp/diablock/4972825216392/
ワイン,NBC_304,2020-01-01,105×180×13,16×77×16,160,NA,160,12,2,https://item.rakuten.co.jp/diablock/4972825216385/
だるま,NBH_195,2019-11-16,140×140×45,64×60×64,400,NA,400,12,3,https://item.rakuten.co.jp/diablock/4972825216095/
清水寺,NBH_194,2019-11-16,140×210×45,120×74×80,620,NA,620,12,3,https://item.rakuten.co.jp/diablock/4972825216088/
ポケットモンスター メッソン,NBPM_061,2019-11-16,105×180×30,44×76×64,210,NA,210,12,2,https://item.rakuten.co.jp/diablock/4972825216125/
ポケットモンスター ヒバニー,NBPM_060,2019-11-16,105×180×30,60×97×36,180,NA,180,12,2,https://item.rakuten.co.jp/diablock/4972825216118/
ポケットモンスター サルノリ,NBPM_059,2019-11-16,105×180×30,60×73×60,190,NA,190,12,2,https://item.rakuten.co.jp/diablock/4972825216101/
キャラナノ アグレッシブ烈子,CN_14,2019-11-16,105×140×70,74×94×48,370,NA,370,12,3,https://item.rakuten.co.jp/diablock/4972825216149/
キャラナノ ウルトラマン ゼロ,CN_13,2019-11-16,105×140×70,44×85×55,260,NA,260,12,3,https://item.rakuten.co.jp/diablock/4972825216132/
ミッフィー アンド キャット,NBCC_080,2019-10-01,89×74×89,90×38×20,100,NA,100,12,1,https://item.rakuten.co.jp/diablock/4972825216330/
地球,NBM_028,2019-09-21,280×210×45,100×140×140,880,NA,880,12,3,https://item.rakuten.co.jp/diablock/4972825218716/
ビッグ・ベン,NBH_193,2019-09-01,140×140×45,80×120×80,560,NA,560,12,3,https://item.rakuten.co.jp/diablock/4972825215470/
パリのセーヌ河岸,NBH_192,2019-09-01,140×140×45,80×125×80,370,NA,370,12,3,https://item.rakuten.co.jp/diablock/4972825215463/
パリ,NB_047,2019-09-01,420×210×70,240×80×190,1620,NA,1620,12,3,https://item.rakuten.co.jp/diablock/4972825215487/
ポケットモンスター メガリザードンY,NBPM_058,2019-09-01,105×180×35,108×60×76,310,NA,310,12,3,https://item.rakuten.co.jp/diablock/4972825215500/
ポケットモンスター メガリザードンX,NBPM_057,2019-09-01,105×180×35,100×60×84,320,NA,320,12,3,https://item.rakuten.co.jp/diablock/4972825215494/
キャラナノ 初音ミク,CN_08,2019-09-01,105×140×70,115×81×50,310,NA,310,12,3,https://item.rakuten.co.jp/diablock/4972825215524/
800系新幹線 つばめ,nGT_024,2019-07-01,140×180×20,24×32×100,180,NA,180,12,2,https://item.rakuten.co.jp/diablock/4972825214626/
E233系 湘南新宿ライン　,nGT_023,2019-07-01,140×180×20,24×32×80,180,NA,180,12,2,https://item.rakuten.co.jp/diablock/4972825214633/
アフリカゾウ,NBC_295,2019-07-01,105×180×13,55×45×84,200,NA,200,12,3,https://item.rakuten.co.jp/diablock/4972825214589/
ホッキョクグマ,NBC_294,2019-07-01,105×180×13,35×38×77,160,NA,160,12,3,https://item.rakuten.co.jp/diablock/4972825214572/
アニマルDX ホホジロザメ,NBM_027,2019-07-01,280×210×45,130×100×300,680,NA,680,12,4,https://item.rakuten.co.jp/diablock/4972825214602/
雷門 デラックスエディション,NB_046,2019-07-01,420×210×70,240×134×160,2740,NA,2740,12,5,https://item.rakuten.co.jp/diablock/4972825215227/
ドラえもん ミニ,NBMC_01,2019-07-01,105×180×13,33×42×31,100,6,600,12,NA,https://item.rakuten.co.jp/diablock/4972825215081/
チョコレート,NBC_290,2019-06-22,105×180×13,64×9×40,130,NA,130,12,2,https://item.rakuten.co.jp/diablock/4972825214435/
東京駅丸の内駅舎,NBH_189,2019-06-22,140×210×45,200×53×80,640,NA,640,12,3,https://item.rakuten.co.jp/diablock/4972825215241/
龍,NBM_026,2019-06-22,280×210×45,130×200×120,700,NA,700,12,4,https://item.rakuten.co.jp/diablock/4972825215234/
タワーブリッジ　デラックスエディション,NB_045,2019-06-22,420×210×70,320×145×120,1700,NA,1700,12,4,https://item.rakuten.co.jp/diablock/4972825214480/
ポケットモンスター　キテルグマ,NBPM_053,2019-06-22,105×180×30,60×79×44,190,NA,190,12,2,https://item.rakuten.co.jp/diablock/4972825214503/
ポケットモンスター　ミミッキュ,NBPM_052,2019-06-22,105×180×30,60×79×44,200,NA,200,12,3,https://item.rakuten.co.jp/diablock/4972825214497/
ポケットモンスター　モクロー,NBPM_051,2019-06-22,105×180×20,40×45×40,170,NA,170,12,2,https://item.rakuten.co.jp/diablock/4972825214510/
ポケットモンスター　アシマリ,NBPM_050,2019-06-22,105×180×20,48×45×56,110,NA,110,12,3,https://item.rakuten.co.jp/diablock/4972825214527/
ポケットモンスター　ニャビー,NBPM_049,2019-06-22,105×180×20,44×51×48,170,NA,170,12,2,https://item.rakuten.co.jp/diablock/4972825214534/
キャラナノ ゴジラ 2016 第4形態,CN_07,2019-06-22,105×140×70,56×96×68,300,NA,300,12,2,https://item.rakuten.co.jp/diablock/4972825214381/
キャラナノ エヴァンゲリオン 第4の使徒,CN_06,2019-06-22,105×140×70,78×96×40,280,NA,280,12,3,https://item.rakuten.co.jp/diablock/4972825214374/
キャラナノ エヴァンゲリオン 初号機,CN_05,2019-06-22,105×140×70,75×115×58,290,NA,290,12,3,https://item.rakuten.co.jp/diablock/4972825214367/
キャラナノ バルタン星人,CN_04,2019-06-22,105×140×70,68×90×40,270,NA,270,12,2,https://item.rakuten.co.jp/diablock/4972825214343/
キャラナノ ウルトラマン,CN_03,2019-06-22,105×140×70,40×87×70,200,NA,200,12,2,https://item.rakuten.co.jp/diablock/4972825214336/
ドラえもん,NBCC_074,2019-04-27,90×140×45,48×64×47,320,NA,320,12,3,https://item.rakuten.co.jp/diablock/4972825213858/
平等院鳳凰堂,NBH_186,2019-04-20,140×210×45,160×77×80,790,NA,790,12,3,https://item.rakuten.co.jp/diablock/4972825213889/
タイムマシン,NBCC_076,2019-04-20,90×140×45,80×81×120,220,NA,220,12,2,https://item.rakuten.co.jp/diablock/4972825213872/
のび太,NBCC_075,2019-04-20,90×140×45,96×44×36,220,NA,220,12,3,https://item.rakuten.co.jp/diablock/4972825213865/
ポケットモンスター フリーザー,NBPM_048,2019-04-20,105×180×35,80×87×72,170,NA,170,12,3,https://item.rakuten.co.jp/diablock/4972825213841/
ポケットモンスター ファイヤー,NBPM_047,2019-04-20,105×180×35,68×75×80,190,NA,190,12,3,https://item.rakuten.co.jp/diablock/4972825213834/
ポケットモンスター サンダー,NBPM_046,2019-04-20,105×180×35,108×72×78,240,NA,240,12,4,https://item.rakuten.co.jp/diablock/4972825213827/
キャラナノ チコちゃんに叱られる！キョエちゃん,CN_02,2019-03-15,105×140×70,62×88×70,230,NA,230,12,2,https://item.rakuten.co.jp/diablock/4972825214404/
キャラナノ チコちゃんに叱られる！ チコちゃん,CN_01,2019-03-15,105×140×70,58×80×40,250,NA,250,12,3,https://item.rakuten.co.jp/diablock/4972825214398/
大阪城,NBH_173,2019-01-01,140×140×45,85×114×80,520,NA,520,12,3,https://item.rakuten.co.jp/diablock/4972825213087/
ポケットモンスター ミュウ,NBPM_045,2019-01-01,105×180×13,28×57×52,90,NA,90,12,2,https://item.rakuten.co.jp/diablock/4972825213124/
ポケットモンスター ブラッキー,NBPM_044,2019-01-01,105×180×13,44×51×60,140,NA,140,12,2,https://item.rakuten.co.jp/diablock/4972825213117/
ポケットモンスター エーフィ,NBPM_043,2019-01-01,105×180×13,52×48×60,140,NA,140,12,2,https://item.rakuten.co.jp/diablock/4972825213100/
姫路城 スペシャルデラックスエディション,NB_042,2018-08-11,420×280×100,240×220×240,5200,NA,5200,12,5,https://item.rakuten.co.jp/diablock/4972825210888/
E233系京浜東北線,nGT_022,2018-07-01,140×180×30,32×24×80,180,NA,180,12,2,https://item.rakuten.co.jp/diablock/4972825210598/
922 形新幹線電気軌道総合試験車T3編成 (ドクターイエロー),nGT_021,2018-07-01,140×180×30,32×24×92,160,NA,160,12,2,https://item.rakuten.co.jp/diablock/4972825210581/
東京,NB_040,2018-07-01,420×210×70,104×240×192,1280,NA,1280,12,4,https://item.rakuten.co.jp/diablock/4972825210512/
盆栽 松 デラックスエディション,NB_039,2018-06-23,280×210×70,195×190×115,1130,NA,1130,12,5,https://item.rakuten.co.jp/diablock/4972825210116/
ポケットモンスター コイキング,NBPM_035,2018-06-23,105×180×13,59×36×60,130,NA,130,12,3,https://item.rakuten.co.jp/diablock/4972825209837/
ポケットモンスター ラッキー,NBPM_034,2018-06-23,105×180×13,46×48×56,140,NA,140,12,2,https://item.rakuten.co.jp/diablock/4972825209820/
蒸気機関車(タンク式),nGT_020,2018-04-14,140×180×20,40×25×104,190,NA,190,12,3,https://item.rakuten.co.jp/diablock/4972825209257/
南海50000系 ラピート,nGT_019,2018-04-14,140×180×20,32×24×96,190,NA,190,12,3,https://item.rakuten.co.jp/diablock/4972825209240/
923形新幹線電気軌道総合試験車ドクターイエロー,nGT_018,2018-04-14,140×180×20,32×24×96,150,NA,150,12,2,https://item.rakuten.co.jp/diablock/4972825209233/
E5系新幹線はやぶさ,nGT_017,2018-04-14,140×180×20,27×24×108,140,NA,140,12,2,https://item.rakuten.co.jp/diablock/4972825209226/
光ファイバーLED + マーライオン,NBH_158,2018-03-17,140×210×45,100×80×80,300,NA,300,12,3,https://item.rakuten.co.jp/diablock/4972825208502/
コレクションケース,NB_038,2018-03-03,140×140×45,84×95×84,NA,NA,NA,12,NA,https://item.rakuten.co.jp/diablock/4972825208533/
ビール,NBC_245,2018-01-20,105×180×13,53×44×36,180,NA,180,12,2,https://item.rakuten.co.jp/diablock/4972825208465/
ポケットモンスター ホウオウ,NBPM_033,2018-01-20,105×180×35,74×84×92,180,NA,180,12,4,https://item.rakuten.co.jp/diablock/4972825208526/
ポケットモンスター ルギア,NBPM_032,2018-01-20,105×180×35,68×84×92,190,NA,190,12,3,https://item.rakuten.co.jp/diablock/4972825208519/
ブロック収納ケース,NB_035,2017-12-02,380×310×59,310×380×59,NA,NA,NA,12,NA,https://item.rakuten.co.jp/diablock/4972825208052/
ベーシックレールセット,nGS_004,2017-09-30,247×147×143,778×34×460,NA,NA,NA,12,NA,https://item.rakuten.co.jp/diablock/4972825205167/
E259系 成田エクスプレス,nGT_016,2017-09-23,140×180×20,32×24×82,170,NA,170,12,3,https://item.rakuten.co.jp/diablock/4972825204818/
E235系 山手線,nGT_015,2017-09-23,140×180×20,32×24×82,180,NA,180,12,2,https://item.rakuten.co.jp/diablock/4972825204801/
E231系 山手線,nGT_014,2017-09-23,140×180×20,32×24×80,170,NA,170,12,2,https://item.rakuten.co.jp/diablock/4972825204795/
E7系新幹線,nGT_013,2017-09-23,140×180×20,32×24×96,180,NA,180,12,2,https://item.rakuten.co.jp/diablock/4972825204832/
E6系新幹線,nGT_012,2017-09-23,140×180×20,27×24×100,140,NA,140,12,2,https://item.rakuten.co.jp/diablock/4972825204825/
N700系新幹線,nGT_011,2017-09-23,140×180×20,32×24×96,170,NA,170,12,2,https://item.rakuten.co.jp/diablock/4972825204849/
ドラミ,NBCC_042,2017-09-23,90×140×45,44×68×52,280,NA,280,12,3,https://item.rakuten.co.jp/diablock/4972825207260/
しずかちゃん,NBCC_041,2017-09-23,90×140×45,68×44×52,200,NA,200,12,2,https://item.rakuten.co.jp/diablock/4972825207253/
ポケットモンスター ワニノコ,NBPM_031,2017-09-23,105×180×13,48×52×48,150,NA,150,12,2,https://item.rakuten.co.jp/diablock/4972825207239/
ポケットモンスター チコリータ,NBPM_030,2017-09-23,105×180×13,51×32×48,90,NA,90,12,1,https://item.rakuten.co.jp/diablock/4972825207222/
ポケットモンスター ヒノアラシ,NBPM_029,2017-09-23,105×180×13,42×40×64,150,NA,150,12,2,https://item.rakuten.co.jp/diablock/4972825207215/
ポケットモンスター ピチュー,NBPM_028,2017-09-23,105×180×13,48×36×44,90,NA,90,12,1,https://item.rakuten.co.jp/diablock/4972825207208/
ラーメン,NBC_229,2017-07-29,105×180×13,60×47×47,140,NA,140,12,2,https://item.rakuten.co.jp/diablock/4972825206492/
ニューヨーク,NB_033,2017-07-29,420×210×70,107×240×192,1480,NA,1480,12,4,https://item.rakuten.co.jp/diablock/4972825206003/
タージマハル　デラックスエディション,NB_032,2017-07-29,420×210×70,128×160×160,2210,NA,2210,12,4,https://item.rakuten.co.jp/diablock/4972825206034/
スネ夫,NBCC_040,2017-07-22,90×140×45,80×36×32,200,NA,200,12,2,https://item.rakuten.co.jp/diablock/4972825206218/
ジャイアン,NBCC_039,2017-07-22,90×140×45,86×64×36,220,NA,220,12,2,https://item.rakuten.co.jp/diablock/4972825207246/
五重塔 デラックスエディション,NB_031,2017-06-24,420×210×70,257×160×160,1350,NA,1350,12,4,https://item.rakuten.co.jp/diablock/4972825206041/
ポケットモンスター コダック,NBPM_024,2017-06-24,105×180×13,44×58×52,130,NA,130,12,2,https://item.rakuten.co.jp/diablock/4972825206096/
ポケットモンスター ギャラドス,NBPM_023,2017-06-24,105×180×13,44×58×60,170,NA,170,12,3,https://item.rakuten.co.jp/diablock/4972825206102/
のび太,NBCC_037,2017-04-29,90×140×45,44×98×32,190,NA,190,12,2,https://item.rakuten.co.jp/diablock/4972825206195/
ドラえもん,NBCC_036,2017-04-29,90×140×45,48×68×48,270,NA,270,12,3,https://item.rakuten.co.jp/diablock/4972825206188/
バースデーケーキ,NBC_219,2017-04-08,105×180×13,48×44×48,170,NA,170,12,2,https://item.rakuten.co.jp/diablock/4972825205051/
ハンバーガー,NBC_217,2017-04-08,105×180×13,48×38×40,120,NA,120,12,2,https://item.rakuten.co.jp/diablock/4972825205037/
ディスプレーアーム,NB_027,2016-10-07,140×140×45,40×130×70,NA,NA,NA,12,NA,https://item.rakuten.co.jp/diablock/4972825202845/
盆栽 梅,NBH_134,2016-10-07,140×140×45,80×128×40,170,NA,170,12,2,https://item.rakuten.co.jp/diablock/4972825202968/
帆船,NB_030,2016-10-07,420×210×70,230×130×320,2500,NA,2500,12,5,https://item.rakuten.co.jp/diablock/4972825202999/
ポケットモンスター ブースター,NBPM_022,2016-10-07,105×180×13,52×51×68,170,NA,170,12,2,https://item.rakuten.co.jp/diablock/4972825204351/
ポケットモンスター サンダース,NBPM_021,2016-10-07,105×180×13,44×45×64,170,NA,170,12,3,https://item.rakuten.co.jp/diablock/4972825204344/
ポケットモンスター シャワーズ,NBPM_020,2016-10-07,105×180×13,44×51×72,140,NA,140,12,2,https://item.rakuten.co.jp/diablock/4972825204337/
スペースシャトル発射台,NBH_131,2016-08-05,140×210×45,122×170×44,510,NA,510,12,3,https://item.rakuten.co.jp/diablock/4972825202821/
サグラダファミリア デラックス エディション,NB_028,2016-08-05,420×210×70,191×160×160,2660,NA,2660,12,5,https://item.rakuten.co.jp/diablock/4972825203965/
宇宙飛行士,NBC_198,2016-08-01,105×180×13,68×40×39,118,NA,118,12,3,https://item.rakuten.co.jp/diablock/4972825202760/
レッサーパンダ,NBC_194,2016-08-01,105×180×13,50×27×88,128,NA,128,12,2,https://item.rakuten.co.jp/diablock/4972825202722/
LEDプレートUSB,NB_026,2016-06-24,140×140×45,80×21×80,NA,NA,NA,12,NA,https://item.rakuten.co.jp/diablock/4972825202685/
ポケットモンスター カメックス,NBPM_019,2016-06-24,105×180×13,55×56×64,220,NA,220,12,3,https://item.rakuten.co.jp/diablock/4972825203835/
ポケットモンスター フシギバナ,NBPM_018,2016-06-24,105×180×13,36×56×60,160,NA,160,12,2,https://item.rakuten.co.jp/diablock/4972825203828/
雷門,NBH_115,2016-04-22,140×140×45,67×80×80,390,NA,390,12,3,https://item.rakuten.co.jp/diablock/4972825202487/
エヴァンゲリオン初号機,NBH_118,2016-04-08,140×210×45,150×70×55,374,NA,374,12,3,https://item.rakuten.co.jp/diablock/4972825203866/
稲荷神社,NBH_108,2016-01-29,140×210×45,73×80×160,530,NA,530,12,3,https://item.rakuten.co.jp/diablock/4972825202036/
セキセイインコグリーンオパーリン,NBC_167,2015-11-28,105×180×13,47×72×24,80,NA,80,12,1,https://item.rakuten.co.jp/diablock/4972825201619/
ポケットモンスター カモネギ,NBPM_013,2015-11-28,105×180×13,60×40×56,160,NA,160,12,3,https://item.rakuten.co.jp/diablock/4972825149232/
東京スカイツリー,NBH_091,2015-08-08,140×210×45,273×80×80,550,NA,550,12,5,https://item.rakuten.co.jp/diablock/4972825149737/
東京タワー,NBH_090,2015-08-08,140×140×45,141×80×80,280,NA,280,12,3,https://item.rakuten.co.jp/diablock/4972825149720/
海賊船,NBM_011,2015-06-26,280×210×45,168×206×56,780,NA,780,12,5,https://item.rakuten.co.jp/diablock/4972825149836/
ポケットモンスター カビゴン,NBPM_012,2015-04-10,105×180×13,64×64×44,220,NA,220,12,3,https://item.rakuten.co.jp/diablock/4972825149546/
ポケットモンスター カイリュー,NBPM_011,2015-04-10,105×180×13,60×60×64,190,NA,190,12,3,https://item.rakuten.co.jp/diablock/4972825149539/
ポケットモンスター キャタピー&モンスターボール,NBPM_010,2015-04-10,105×180×13,45×28×52,170,NA,170,12,2,https://item.rakuten.co.jp/diablock/4972825149560/
ポケットモンスター ラプラス,NBPM_009,2015-04-10,105×180×13,48×52×56,130,NA,130,12,2,https://item.rakuten.co.jp/diablock/4972825149553/
タイタニック,NB_021,2014-08-01,420×210×70,105×560×80,1800,NA,1800,12,5,https://item.rakuten.co.jp/diablock/4972825146972/
ポケットモンスター リザードン,NBPM_008,2014-06-28,105×180×13,56×76×76,200,NA,200,12,3,https://item.rakuten.co.jp/diablock/4972825146248/
ポケットモンスター ゲンガー,NBPM_007,2014-06-28,105×180×13,52×52×48,150,NA,150,12,2,https://item.rakuten.co.jp/diablock/4972825146804/
ポケットモンスター ミュウツー,NBPM_006,2014-06-28,105×180×13,61×52×52,130,NA,130,12,3,https://item.rakuten.co.jp/diablock/4972825146811/
ポケットモンスター イーブイ,NBPM_005,2014-06-28,105×180×13,55×44×64,130,NA,130,12,2,https://item.rakuten.co.jp/diablock/4972825146231/
ナノブロックパッド,NB_020,2014-03-28,105×180×17,142×10×190,NA,NA,NA,12,NA,https://item.rakuten.co.jp/diablock/4972825146828/
ポケットモンスター ゼニガメ,NBPM_004,2013-10-25,105×180×13,45×35×47,120,NA,120,12,2,https://item.rakuten.co.jp/diablock/4972825146224/
ポケットモンスター フシギダネ,NBPM_003,2013-10-25,105×180×13,33×35×45,120,NA,120,12,2,https://item.rakuten.co.jp/diablock/4972825146217/
ポケットモンスター ヒトカゲ,NBPM_002,2013-10-25,105×180×13,43×27×65,120,NA,120,12,2,https://item.rakuten.co.jp/diablock/4972825146200/
ポケットモンスター ピカチュウ,NBPM_001,2013-10-25,105×180×13,47×40×55,130,NA,130,12,2,https://item.rakuten.co.jp/diablock/4972825146194/
ナノブロック®専用ピンセット,NB_019,2013-08-30,50×180×12,14×120×9,NA,NA,NA,12,NA,https://item.rakuten.co.jp/diablock/4972825145470/
ノイシュバンシュタイン城 デラックスエディション,NB_009,2010-12-14,420×280×100,220×120×400,5800,NA,5800,12,5,https://item.rakuten.co.jp/diablock/4972825140109/
日本海軍 戦艦 大和,NB_004,2008-10-31,420×210×70,475×90×70,1700,NA,1700,12,5,https://item.rakuten.co.jp/diablock/4972825134467/
