name,item_number,release_date_japan,package_size_mm,built_up_size_mm,pieces_single,pieces_box,total_pieces,target_age,difficulty_level,link_rakuten
ダイナソーDX トリケラトプス,NBM_033,2022-07-09,280×210×45,260×102×72,930,NA,930,12,4,https://item.rakuten.co.jp/diablock/4972825223857/
水辺のパラサウロロフス,NBC_367,2022-07-09,105×180×13,80×67×85,150,NA,150,12,2,https://item.rakuten.co.jp/diablock/4972825223840/
ティラノサウルスの孵化,NBC_366,2022-07-09,105×180×13,90×80×85,200,NA,200,12,2,https://item.rakuten.co.jp/diablock/4972825223833/
プテラノドン,NBC_365,2022-07-09,105×180×13,130×67×75,130,NA,130,12,2,https://item.rakuten.co.jp/diablock/4972825223826/
アンキロサウルス,NBC_364,2022-07-09,105×180×13,44×57×105,210,NA,210,12,2,https://item.rakuten.co.jp/diablock/4972825223819/
ブラキオサウルス,NBC_363,2022-07-09,105×180×13,32×122×110,190,NA,190,12,2,https://item.rakuten.co.jp/diablock/4972825223802/
ヴェロキラプトル,NBC_362,2022-07-09,105×180×13,54×76×120,170,NA,170,12,2,https://item.rakuten.co.jp/diablock/4972825223796/
ミニナノ ミッフィー vol.2,NBMC_41,2022-07-09,105×180×13,28×51×12,60,6,360,12,NA,https://item.rakuten.co.jp/diablock/4972825224021/
ミニナノ ドラゴンボールZ vol.2,NBMC_40,2022-07-09,105×180×13,28×54×24,80,6,480,12,NA,https://item.rakuten.co.jp/diablock/4972825223901/
ミニナノ I’m Doraemonドラえもん vol.2,NBMC_38,2022-07-09,105×180×13,28×36×24,90,6,540,12,NA,https://item.rakuten.co.jp/diablock/4972825224014/
ポケットモンスター スイクン,NBPM_091,2022-04-23,105×180×35,48×74×112,220,NA,220,12,3,https://item.rakuten.co.jp/diablock/4972825221679/
ポケットモンスター エンテイ,NBPM_090,2022-04-23,105×180×35,68×59×100,240,NA,240,12,3,https://item.rakuten.co.jp/diablock/4972825221662/
ポケットモンスター ライコウ,NBPM_089,2022-04-23,105×180×35,36×53×100,250,NA,250,12,3,https://item.rakuten.co.jp/diablock/4972825221655/
ミニナノ リラックマ vol.2,NBMC_36,2022-04-23,105×180×13,28×35×22,70,6,420,12,NA,https://item.rakuten.co.jp/diablock/4972825223765/
ミニナノ クレヨンしんちゃん vol.3,NBMC_35,2022-04-23,105×180×13,32×38×24,70,6,420,12,NA,https://item.rakuten.co.jp/diablock/4972825223741/
ミニナノ SPY×FAMILY,NBMC_37,2022-04-15,105×180×13,32×38×20,69,6,414,12,NA,https://item.rakuten.co.jp/diablock/4972825223109/
ミニナノ 名探偵コナン vol.3,NBMC_34,2022-03-12,105×180×13,32×38×28,70,6,420,12,NA,https://item.rakuten.co.jp/diablock/4972825223123/
ミニナノ とっとこハム太郎,NBMC_33,2022-01-22,105×180×13,28×26×36,60,6,360,12,NA,https://item.rakuten.co.jp/diablock/4972825223055/
ポケットモンスター ポッチャマ ブリリアントシャイニングver.,NBPM_088,2022-01-22,105×180×13,52×57×48,170,NA,170,12,2,https://item.rakuten.co.jp/diablock/4972825223130/
ポケットモンスター ヒコザル ブリリアントシャイニングver.,NBPM_087,2022-01-22,105×180×13,48×65×48,150,NA,150,12,2,https://item.rakuten.co.jp/diablock/4972825223147/
ポケットモンスター ナエトル ブリリアントシャイニングver.,NBPM_086,2022-01-22,105×180×13,36×47×56,130,NA,130,12,2,https://item.rakuten.co.jp/diablock/4972825223154/
ポケットモンスター ガブリアス ブリリアントシャイニングver.,NBPM_085,2022-01-22,105×180×13,36×47×56,210,NA,210,12,3,https://item.rakuten.co.jp/diablock/4972825223192/
ポケットモンスター グレイシア ブリリアントシャイニングver.,NBPM_084,2022-01-22,105×180×13,44×50×60,160,NA,160,12,2,https://item.rakuten.co.jp/diablock/4972825223161/
ポケットモンスター リーフィア ブリリアントシャイニングver.,NBPM_083,2022-01-22,105×180×13,44×50×60,140,NA,140,12,2,https://item.rakuten.co.jp/diablock/4972825223178/
ポケットモンスター ルカリオ ブリリアントシャイニングver.,NBPM_082,2022-01-22,105×180×13,56×73×64,160,NA,160,12,3,https://item.rakuten.co.jp/diablock/4972825223185/
ミニナノ ドラゴンボールZ,NBMC_24,2022-01-22,105×180×13,31×51×20,70,6,420,12,NA,https://item.rakuten.co.jp/diablock/4972825221921/
ドラゴンボールZ フリーザ,NBDB_009,2022-01-22,105×180×13,32×60×28,110,NA,110,12,3,https://item.rakuten.co.jp/diablock/4972825213483/
ドラゴンボールZ 孫悟空 スーパーサイヤ人,NBDB_007,2022-01-22,105×180×13,35×72×30,130,NA,130,12,3,https://item.rakuten.co.jp/diablock/4972825213469/
ドラゴンボールZ ベジータ,NBDB_004,2022-01-22,105×180×13,36×58×24,130,NA,130,12,3,https://item.rakuten.co.jp/diablock/4972825212028/
ドラゴンボールZ ピッコロ,NBDB_003,2022-01-22,105×180×13,36×58×24,100,NA,100,12,3,https://item.rakuten.co.jp/diablock/4972825212004/
ドラゴンボールZ 孫悟飯,NBDB_002,2022-01-22,105×180×13,32×60×32,110,NA,110,12,2,https://item.rakuten.co.jp/diablock/4972825211991/
ドラゴンボールZ 孫悟空,NBDB_001,2022-01-22,105×180×13,44×76×28,110,NA,110,12,3,https://item.rakuten.co.jp/diablock/4972825211984/
ウォーズマン,NBCC_123,2021-11-27,105×180×30,48×72×38,200,NA,200,12,3,https://item.rakuten.co.jp/diablock/4972825223086/
ロビンマスク,NBCC_122,2021-11-27,105×180×30,40×74×42,190,NA,190,12,3,https://item.rakuten.co.jp/diablock/4972825223079/
干支 寅,NBC_361,2021-11-27,105×180×13,43×58×84,230,NA,230,12,2,https://item.rakuten.co.jp/diablock/4972825221716/
盆栽 桜,NBH_225,2021-11-27,140×140×45,80×140×40,270,NA,270,12,2,https://item.rakuten.co.jp/diablock/4972825221730/
盆栽 松,NBH_224,2021-11-27,140×140×45,110×113×44,280,NA,280,12,2,https://item.rakuten.co.jp/diablock/4972825221723/
干支 十二支セット,NB_055,2021-11-27,420×210×70,43×58×84,2020,NA,2020,12,3,NA
リザードン DX,NBPM_080,2021-11-27,280×210×45,190×140×190,860,NA,860,12,4,https://item.rakuten.co.jp/diablock/4972825223062/
ミニナノ　キン肉マン vol.2,NBMC_32,2021-11-27,105×180×13,32×44×20,80,6,480,12,NA,https://item.rakuten.co.jp/diablock/4972825223031/
ミニナノ　ポケットモンスター ひこうタイプ,NBMC_31,2021-11-27,105×180×13,20×29×32,40,6,240,12,NA,https://item.rakuten.co.jp/diablock/4972825222997/
ミニナノ　ちびまる子ちゃん vol.2,NBMC_30,2021-11-27,105×180×13,30×50×20,80,6,480,12,NA,https://item.rakuten.co.jp/diablock/4972825223017/
クリスマスリース,NBH_220,2021-10-16,140×210×45,140×135×45,580,NA,580,12,3,https://item.rakuten.co.jp/diablock/4972825221594/
厳島神社大鳥居,NBH_222,2021-09-25,140×140×45,80×65×160,470,NA,470,12,3,https://item.rakuten.co.jp/diablock/4972825221624/
ドラゴン,NBM_032,2021-09-25,280×210×45,170×120×170,960,NA,960,12,4,https://item.rakuten.co.jp/diablock/4972825221648/
東京駅丸の内駅舎 デラックスエディション,NB_054,2021-09-25,420×210×70,480×110×120,3140,NA,3140,12,5,https://item.rakuten.co.jp/diablock/4972825221440/
