name,item_number,release_date_japan,package_size_mm,built_up_size_mm,pieces_single,pieces_box,target_age,difficulty_level,link_rakuten
ポケットモンスター メガフシギバナ,NBPM_092,2022/08/06,105×180×35 (mm),71×55×60 (mm),250,NA,12,2,https://item.rakuten.co.jp/diablock/4972825224199/
ポケットモンスター メガカメックス,NBPM_093,2022/08/06,105×180×35 (mm),60×73×75 (mm),360,NA,12,3,https://item.rakuten.co.jp/diablock/4972825224182/
スヌーピーハウス,NBH_228,2022/07/23,140×140×45 (mm),120×78×80 (mm),350,NA,12,3,https://item.rakuten.co.jp/diablock/4972825224045/
ミニナノ ピーナッツ vol.3,NBMC_39,2022/07/23,105×180×13 (mm),"20×42×28 (mm)
 （参考：ジョー・クール）",60 （参考：ジョー・クール）,1BOX6個,12,NA,https://item.rakuten.co.jp/diablock/4972825224038/
東京スカイツリー®,NBH_229,2022/07/09,140×210×45(mm),80×265×80(mm),600,NA,12,5,https://item.rakuten.co.jp/diablock/4972825223895/
ダイナソーDX ギガノトサウルス,NBM-034,2022/07/09,280×210×45 (mm),320×143×80 (mm),1120,NA,12,5,https://item.rakuten.co.jp/diablock/4972825223864/
ダイナソーDX トリケラトプス,NBM-033,2022/07/09,280×210×45 (mm),260×102×72 (mm),930,NA,12,4,https://item.rakuten.co.jp/diablock/4972825223857/
水辺のパラサウロロフス,NBC_367,2022/07/09,105×180×13 (mm),80×67×85 (mm),150,NA,12,2,https://item.rakuten.co.jp/diablock/4972825223840/
ティラノサウルスの孵化,NBC_366,2022/07/09,105×180×13 (mm),90×80×85 (mm),200,NA,12,2,https://item.rakuten.co.jp/diablock/4972825223833/
プテラノドン,NBC_365,2022/07/09,105×180×13 (mm),130×67×75 (mm),130,NA,12,2,https://item.rakuten.co.jp/diablock/4972825223826/
アンキロサウルス,NBC_364,2022/07/09,105×180×13 (mm),44×57×105 (mm),210,NA,12,2,https://item.rakuten.co.jp/diablock/4972825223819/
ブラキオサウルス,NBC_363,2022/07/09,105×180×13 (mm),32×122×110 (mm),190,NA,12,2,https://item.rakuten.co.jp/diablock/4972825223802/
ヴェロキラプトル,NBC_362,2022/07/09,105×180×13 (mm),54×76×120 (mm),170,NA,12,2,https://item.rakuten.co.jp/diablock/4972825223796/
ミニナノ ミッフィー vol.2,NBMC_41,2022/07/09,105×180×13 (mm),"28×51×12 (mm)
 (参考：ミッフィー)",60(参考：ミッフィー),1BOX6個,12,NA,https://item.rakuten.co.jp/diablock/4972825224021/
ミニナノ ドラゴンボールZ vol.2,NBMC_40,2022/07/09,105×180×13 (mm),"28×54×24 (mm)
 （参考：孫悟空）",80（参考：孫悟空）,1BOX6個,12,NA,https://item.rakuten.co.jp/diablock/4972825223901/
ミニナノ I’m Doraemonドラえもん vol.2,NBMC_38,2022/07/09,105×180×13 (mm),"28×36×24 (mm)
 (参考：ドラえもん)",90 (参考：ドラえもん),1BOX6個,12,NA,https://item.rakuten.co.jp/diablock/4972825224014/
ポケットモンスター スイクン,NBPM_091,2022/04/23,105×180×35 (mm),48×74×112 (mm),220,NA,12,3,https://item.rakuten.co.jp/diablock/4972825221679/
ポケットモンスター エンテイ,NBPM_090,2022/04/23,105×180×35 (mm),68×59×100 (mm),240,NA,12,3,https://item.rakuten.co.jp/diablock/4972825221662/
ポケットモンスター ライコウ,NBPM_089,2022/04/23,105×180×35 (mm),36×53×100 (mm),250,NA,12,3,https://item.rakuten.co.jp/diablock/4972825221655/
ミニナノ リラックマ vol.2,NBMC_36,2022/4/23,105×180×13 (mm),"28×35×22 (mm)
 (参考：リラックマ)","70
 (参考：リラックマ)",1BOX6個,12,NA,https://item.rakuten.co.jp/diablock/4972825223765/
ミニナノ クレヨンしんちゃん vol.3,NBMC_35,2022/4/23,105×180×13(mm),"32×38×24(mm)
 (参考：しんちゃん)","70
 (参考：しんちゃん)",1BOX6個,12,NA,https://item.rakuten.co.jp/diablock/4972825223741/
ミニナノ SPY×FAMILY,NBMC_37,2022/04/15,105×180×13 (mm),"32×38×20 (mm)
 (参考：アーニャ)",69(参考：アーニャ),1BOX6個,12,NA,https://item.rakuten.co.jp/diablock/4972825223109/
ミニナノ 名探偵コナン vol.3,NBMC_34,2022/03/12,"105×180×13 (mm)
","32×38×28 (mm)
 (参考：コナン)",70(参考：コナン),1BOX6個,12,NA,https://item.rakuten.co.jp/diablock/4972825223123/
ミニナノ とっとこハム太郎,NBMC_33,2022/01/22,105×180×13(mm),"28×26×36(mm)
 (参考：ハム太郎)",60(参考：ハム太郎),1BOX6個,12,NA,https://item.rakuten.co.jp/diablock/4972825223055/
ポケットモンスター ポッチャマ ブリリアントシャイニングver.,NBPM_088,2022/01/22,105×180×13 (mm),52×57×48 (mm),170,NA,12,2,https://item.rakuten.co.jp/diablock/4972825223130/
ポケットモンスター ヒコザル ブリリアントシャイニングver.,NBPM_087,2022/01/22,105×180×13 (mm),48×65×48 (mm),150,NA,12,2,https://item.rakuten.co.jp/diablock/4972825223147/
ポケットモンスター ナエトル ブリリアントシャイニングver.,NBPM_086,2022/01/22,105×180×13 (mm),36×47×56 (mm),130,NA,12,2,https://item.rakuten.co.jp/diablock/4972825223154/
ポケットモンスター ガブリアス ブリリアントシャイニングver.,NBPM_085,2022/01/22,105×180×13 (mm),36×47×56 (mm),210,NA,12,3,https://item.rakuten.co.jp/diablock/4972825223192/
ポケットモンスター グレイシア ブリリアントシャイニングver.,NBPM_084,2022/01/22,105×180×13 (mm),44×50×60 (mm),160,NA,12,2,https://item.rakuten.co.jp/diablock/4972825223161/
ポケットモンスター リーフィア ブリリアントシャイニングver.,NBPM_083,2022/01/22,105×180×13 (mm),44×50×60 (mm),140,NA,12,2,https://item.rakuten.co.jp/diablock/4972825223178/
ポケットモンスター ルカリオ ブリリアントシャイニングver.,NBPM_082,2022/01/22,105×180×13 (mm),56×73×64 (mm),160,NA,12,3,https://item.rakuten.co.jp/diablock/4972825223185/
ミニナノ ドラゴンボールZ,NBMC_24,2022/01/22,105×180×13 (mm),"31×51×20 (mm)
 (参考：孫悟空)",70(参考：孫悟空),1BOX6個,12,NA,https://item.rakuten.co.jp/diablock/4972825221921/
ドラゴンボールZ フリーザ,NBDB_009,2022/01/22,105×180×13 (mm),32×60×28 (mm),110,NA,12,3,https://item.rakuten.co.jp/diablock/4972825213483/
ドラゴンボールZ 孫悟空 スーパーサイヤ人,NBDB_007,2022/01/22,105×180×13 (mm),35×72×30 (mm),130,NA,12,3,https://item.rakuten.co.jp/diablock/4972825213469/
ドラゴンボールZ ベジータ,NBDB_004,2022/01/22,105×180×13 (mm),36×58×24 (mm),130,NA,12,3,https://item.rakuten.co.jp/diablock/4972825212028/
ドラゴンボールZ ピッコロ,NBDB_003,2022/01/22,105×180×13 (mm),36×58×24 (mm),100,NA,12,3,https://item.rakuten.co.jp/diablock/4972825212004/
ドラゴンボールZ 孫悟飯,NBDB_002,2022/01/22,105×180×13 (mm),32×60×32 (mm),110,NA,12,2,https://item.rakuten.co.jp/diablock/4972825211991/
ドラゴンボールZ 孫悟空,NBDB_001,2022/01/22,105×180×13 (mm),44×76×28 (mm),110,NA,12,3,https://item.rakuten.co.jp/diablock/4972825211984/
ウォーズマン,NBCC_123,2021/11/27,105×180×30(mm),48×72×38(mm),200,NA,12,3,https://item.rakuten.co.jp/diablock/4972825223086/
ロビンマスク,NBCC_122,2021/11/27,105×180×30(mm),40×74×42(mm),190,NA,12,3,https://item.rakuten.co.jp/diablock/4972825223079/
干支 寅,NBC_361,2021/11/27,105×180×13 (mm),43×58×84 (mm),230,NA,12,2,https://item.rakuten.co.jp/diablock/4972825221716/
盆栽 桜,NBH_225,2021/11/27,140×140×45 (mm),80×140×40 (mm),270,NA,12,2,https://item.rakuten.co.jp/diablock/4972825221730/
盆栽 松,NBH_224,2021/11/27,140×140×45 (mm),110×113×44 (mm),280,NA,12,2,https://item.rakuten.co.jp/diablock/4972825221723/
干支 十二支セット,NB-055,2021/11/27,420×210×70 (mm),"43×58×84 (mm)
 （参考：寅）",2020,NA,12,3,NA
リザードン DX,NBPM_080,2021/11/27,280×210×45 (mm),190×140×190 (mm),860,NA,12,4,https://item.rakuten.co.jp/diablock/4972825223062/
ミニナノ　キン肉マン vol.2,NBMC_32,2021/11/27,105×180×13 (mm),"32×44×20 (mm)
 (参考：ウォーズマン)",80 (参考：ウォーズマン),1BOX6個,12,NA,https://item.rakuten.co.jp/diablock/4972825223031/
ミニナノ　ポケットモンスター ひこうタイプ,NBMC_31,2021/11/27,105×180×13 (mm),"20×29×32 (mm)
 (参考：ポッポ)",40 (参考：ポッポ),1BOX6個,12,NA,https://item.rakuten.co.jp/diablock/4972825222997/
ミニナノ　ちびまる子ちゃん vol.2,NBMC_30,2021/11/27,105×180×13 (mm),"30×50×20 (mm)
 (参考：まる子)",80 (参考：まる子),1BOX6個,12,NA,https://item.rakuten.co.jp/diablock/4972825223017/
クリスマスリース,NBH_220,2021/10/16,140×210×45(mm),140×135×45(mm),580,NA,12,3,https://item.rakuten.co.jp/diablock/4972825221594/
厳島神社大鳥居,NBH_222,2021/9/25,140×140×45 (mm),80×65×160 (mm),470,NA,12,3,https://item.rakuten.co.jp/diablock/4972825221624/
ドラゴン,NBM-032,2021/9/25,280×210×45 (mm),170×120×170 (mm),960,NA,12,4,https://item.rakuten.co.jp/diablock/4972825221648/
東京駅丸の内駅舎 デラックスエディション,NB-054,2021/9/25,420×210×70 (mm),480×110×120 (mm),3140,NA,12,5,https://item.rakuten.co.jp/diablock/4972825221440/
バッファローマン,NBCC_118,2021/9/25,105×180×30 (mm),56×74×42 (mm),230,NA,12,3,https://item.rakuten.co.jp/diablock/4972825222034/
