name,item_number,release_date_japan,package_size_mm,built_up_size_mm,pieces_single,pieces_box,target_age,difficulty_level
Pokémon NAETLE BRILLIANT SHINING ver.,NBPM-086,2022-01-22,105×180×13,36×47×56,130,NA,12,2
Pokémon GABURIAS BRILLIANT SHINING ver.,NBPM-085,2022-01-22,105×180×13,36×47×56,210,NA,12,3
Pokémon GLACIA BRILLIANT SHINING ver.,NBPM-084,2022-01-22,105×180×13,44×50×60,160,NA,12,2
Pokémon LEAFIA BRILLIANT SHINING ver.,NBPM-083,2022-01-22,105×180×13,44×50×60,140,NA,12,2
Pokémon LUCARIO BRILLIANT SHINING ver.,NBPM-082,2022-01-22,105×180×13,56×73×64,160,NA,12,3
mininano DRAGON BALL Z,NBMC-24,2022-01-22,105×180×13,31×51×20,70,6,12,NA
DRAGON BALL Z FRIEZA,NBDB-009,2022-01-22,105×180×13,32×60×28,110,NA,12,3
DRAGON BALL Z SON GOKU SUPER SAIYAN,NBDB-007,2022-01-22,105×180×13,35×72×30,130,NA,12,3
DRAGON BALL Z VEGETA,NBDB-004,2022-01-22,105×180×13,36×58×24,130,NA,12,3
DRAGON BALL Z PICCOLO,NBDB-003,2022-01-22,105×180×13,36×58×24,100,NA,12,3
DRAGON BALL Z SON GOHAN,NBDB-002,2022-01-22,105×180×13,32×60×32,110,NA,12,2
DRAGON BALL Z SON GOKU,NBDB-001,2022-01-22,105×180×13,44×76×28,110,NA,12,3
干支 十二支セット,NB-055,2021-11-27,420×210×70,43×58×84,2020,NA,12,3
リザードン DX,NBPM-080,2021-11-27,280×210×45,190×140×190,860,NA,12,4
mininano KINNIKUMAN vol.2,NBMC-32,2021-11-27,105×180×13,32×44×20,80,6,12,NA
mininano Pokémon Type: Flying,NBMC-31,2021-11-27,105×180×13,20×29×32,40,6,12,NA
mininano CHIBI MARUKO-CHAN　vol.2,NBMC-30,2021-11-27,105×180×13,30×50×20,80,6,12,NA
WARSMAN,NBCC-123,2021-11-27,105×180×30,48×72×38,200,NA,12,3
ROBIN MASK,NBCC-122,2021-11-27,105×180×30,40×74×42,190,NA,12,3
干支 寅,NBC-361,2021-11-27,105×180×13,43×58×84,230,NA,12,2
盆栽 桜,NBH-225,2021-11-27,140×140×45,80×140×40,270,NA,12,2
盆栽 松,NBH-224,2021-11-27,140×140×45,110×113×44,280,NA,12,2
クリスマスリース,NBH-220,2021-10-16,140×210×45,140×135×45,580,NA,12,3
ドラゴン,NBM-032,2021-09-25,280×210×45,170×120×170,960,NA,12,4
