name,item_number,release_date_japan,package_size_mm,built_up_size_mm,pieces_single,pieces_box,target_age,difficulty_level
のび太,NBCC-037,2017-04-29,90×140×45,44×98×32,190,NA,12,2
ドラえもん,NBCC-036,2017-04-29,90×140×45,48×68×48,270,NA,12,3
バースデーケーキ,NBC-219,2017-04-08,105×180×13,48×44×48,170,NA,12,2
ハンバーガー,NBC-217,2017-04-08,105×180×13,48×38×40,120,NA,12,2
盆栽 梅,NBH-134,2016-10-07,140×140×45,80×128×40,170,NA,12,2
帆船,NB-030,2016-10-07,420×210×70,230×130×320,2500,NA,12,5
ポケットモンスター ブースター,NBPM-022,2016-10-07,105×180×13,52×51×68,170,NA,12,2
ポケットモンスター サンダース,NBPM-021,2016-10-07,105×180×13,44×45×64,170,NA,12,3
ポケットモンスター シャワーズ,NBPM-020,2016-10-07,105×180×13,44×51×72,140,NA,12,2
ディスプレーアーム,NB-027,2016-10-07,140×140×45,40×130×70,NA,NA,12,NA
スペースシャトル発射台,NBH-131,2016-08-05,140×210×45,122×170×44,510,NA,12,3
サグラダファミリア デラックス エディション,NB-028,2016-08-05,420×210×70,191×160×160,2660,NA,12,5
宇宙飛行士,NBC-198,2016-08-01,105×180×13,68×40×39,118,NA,12,3
レッサーパンダ,NBC-194,2016-08-01,105×180×13,50×27×88,128,NA,12,2
ポケットモンスター カメックス,NBPM-019,2016-06-24,105×180×13,55×56×64,220,NA,12,3
ポケットモンスター フシギバナ,NBPM-018,2016-06-24,105×180×13,36×56×60,160,NA,12,2
LEDプレートUSB,NB-026,2016-06-24,140×140×45,80×21×80,NA,NA,12,NA
雷門,NBH-115,2016-04-22,140×140×45,67×80×80,390,NA,12,3
エヴァンゲリオン初号機,NBH-118,2016-04-08,140×210×45,150×70×55,374,NA,12,3
稲荷神社,NBH-108,2016-01-29,140×210×45,73×80×160,530,NA,12,3
ポケットモンスター カモネギ,NBPM-013,2015-11-28,105×180×13,60×40×56,160,NA,12,3
セキセイインコグリーンオパーリン,NBC-167,2015-11-28,105×180×13,47×72×24,80,NA,12,1
東京スカイツリー,NBH-091,2015-08-08,140×210×45,273×80×80,550,NA,12,5
東京タワー,NBH-090,2015-08-08,140×140×45,141×80×80,280,NA,12,3
海賊船,NBM-011,2015-06-26,280×210×45,168×206×56,780,NA,12,5
ポケットモンスター カビゴン,NBPM-012,2015-04-10,105×180×13,64×64×44,220,NA,12,3
ポケットモンスター カイリュー,NBPM-011,2015-04-10,105×180×13,60×60×64,190,NA,12,3
ポケットモンスター キャタピー&モンスターボール,NBPM-010,2015-04-10,105×180×13,45×28×52,170,NA,12,2
ポケットモンスター ラプラス,NBPM-009,2015-04-10,105×180×13,48×52×56,130,NA,12,2
タイタニック,NB-021,2014-08-01,420×210×70,105×560×80,1800,NA,12,5
ポケットモンスター リザードン,NBPM-008,2014-06-28,105×180×13,56×76×76,200,NA,12,3
ポケットモンスター ゲンガー,NBPM-007,2014-06-28,105×180×13,52×52×48,150,NA,12,2
ポケットモンスター ミュウツー,NBPM-006,2014-06-28,105×180×13,61×52×52,130,NA,12,3
ポケットモンスター イーブイ,NBPM-005,2014-06-28,105×180×13,55×44×64,130,NA,12,2
ナノブロック®パッド,NB-020,2014-03-28,105×180×17,142×10×190,NA,NA,12,NA
ポケットモンスター ゼニガメ,NBPM-004,2013-10-25,105×180×13,45×35×47,120,NA,12,2
ポケットモンスター フシギダネ,NBPM-003,2013-10-25,105×180×13,33×35×45,120,NA,12,2
ポケットモンスター ヒトカゲ,NBPM-002,2013-10-25,105×180×13,43×27×65,120,NA,12,2
ポケットモンスター ピカチュウ,NBPM-001,2013-10-25,105×180×13,47×40×55,130,NA,12,2
nanoblock Tweezers,NB-019,2013-08-30,50×180×12,14×120×9,NA,NA,12,NA
ノイシュバンシュタイン城 デラックスエディション,NB-009,2010-12-14,420×280×100,220×120×400,5800,NA,12,5
日本海軍 戦艦 大和,NB-004,2008-10-31,420×210×70,475×90×70,1700,NA,12,5
